(movi, R11, 10, -)
(movi, R1, 20, -)
(movi, R2, 20, -)
(addr, R3, R1, R11)
(addi, R4, R1, 10)
(subr, R5, R1, R11)
(subi, R6, R1, 10)
(mulr, R7, R1, R11)
(muli, R8, R1, 10)
(divr, R9, R1, R11)
(divi, R10, R1, 10)
(beq, R1, R2, L0)
(halt, -, -, -)
(lab, L0, -, -)
(beq, R11, R1, L1)
(jmp, L2, -, -)
(lab, L1, -, -)
(halt, -, -, -)
(lab, L2, -, -)
(bne, R11, R1, L3)
(halt, -, -, -)
(lab, L3, -, -)
(bne, R1, R2, L4)
(jmp, L5, -, -)
(lab, L4, -, -)
(halt, -, -, -)
(lab, L5, -, -)
(blt, R11, R1, L6)
(halt, -, -, -)
(lab, L6, -, -)
(blt, R1, R11, L7)
(jmp, L8, -, -)
(lab, L7, -, -)
(halt, -, -, -)
(lab, L8, -, -)
(bgt, R1, R11, L9)
(halt, -, -, -)
(lab, L9, -, -)
(bgt, R11, R1, L10)
(jmp, L11, -, -)
(lab, L10, -, -)
(halt, -, -, -)
(lab, L11, -, -)
(ble, R11, R1, L12)
(halt, -, -, -)
(lab, L12, -, -)
(ble, R1, R11, L13)
(jmp, L14, -, -)
(lab, L13, -, -)
(halt, -, -, -)
(lab, L14, -, -)
(bge, R1, R11, L15)
(halt, -, -, -)
(lab, L15, -, -)
(bge, R11, R1, L16)
(jmp, L17, -, -)
(lab, L16, -, -)
(halt, -, -, -)
(lab, L17, -, -)
(movi, R3, L18, -)
(jr, R3, -, -)
(halt, -, -, -)
(lab, L18, -, -)
(movr, R4, R11, -)
(storedi, R4, R1, 5)
(loaddi, R5, R4, 5)
(halt, -, -, -)
